                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3002,                 2.9096,                 1.3282,                0.00339,                0.96667,                0.46161,                0.27838,                  1.379,                 3.4957,                 1.2643,             0.00036674,             0.00036674,             0.00036674
                      1,                  1.063,                 2.0819,                 1.1678,                0.21585,                0.38182,                0.26079,                0.15219,                  1.962,                 3.7124,                 1.7817,             0.00072044,             0.00072044,             0.00072044
                      2,                 1.0141,                  1.881,                  1.139,                0.33882,                0.59697,                0.31946,                0.18477,                 1.4546,                 3.0772,                 1.2548,              0.0010438,              0.0010438,              0.0010438
                      3,                  0.986,                 1.8091,                 1.1388,                0.56149,                0.40189,                0.51886,                0.28629,                  1.481,                  3.696,                 1.3338,              0.0013368,              0.0013368,              0.0013368
                      4,                0.93852,                 1.6445,                 1.1086,                0.26669,                0.37121,                0.24995,                0.13244,                 1.4492,                  3.685,                 1.4937,              0.0014029,              0.0014029,              0.0014029
                      5,                0.97678,                 1.6481,                 1.1499,                 0.5477,                0.58788,                0.61594,                0.34802,                 1.4362,                 2.9023,                 1.2675,              0.0014029,              0.0014029,              0.0014029
                      6,                0.88422,                 1.4898,                 1.0905,                0.32364,                0.55303,                0.42327,                0.24577,                 1.6986,                  2.754,                 1.5992,              0.0013369,              0.0013369,              0.0013369
                      7,                0.89061,                 1.4196,                 1.0906,                0.65149,                0.65546,                0.72824,                0.44065,                 1.5453,                 2.4764,                 1.4145,              0.0012709,              0.0012709,              0.0012709
                      8,                0.81652,                 1.2797,                 1.0455,                0.69465,                0.56212,                0.68617,                0.46781,                 1.5748,                 2.3496,                 1.4309,              0.0012049,              0.0012049,              0.0012049
                      9,                0.83154,                 1.2766,                 1.0524,                0.59495,                0.68683,                 0.6571,                0.39373,                 1.6357,                 2.3102,                 1.6853,              0.0011389,              0.0011389,              0.0011389
                     10,                0.74478,                 1.1644,                 1.0217,                0.65901,                 0.6704,                0.70062,                0.46814,                 1.5372,                 1.8715,                 1.4911,              0.0010729,              0.0010729,              0.0010729
                     11,                 0.7267,                 1.0815,                 1.0153,                0.79196,                0.58636,                0.77093,                0.49701,                 1.4575,                 1.7542,                  1.513,              0.0010069,              0.0010069,              0.0010069
                     12,                0.74439,                 1.0318,                 1.0041,                0.75758,                0.74569,                0.81279,                 0.4925,                 1.5682,                 1.8998,                 1.5695,             0.00094085,             0.00094085,             0.00094085
                     13,                0.71299,                 1.0129,                 1.0031,                0.90779,                0.71753,                0.84625,                0.58156,                 1.4614,                 1.5393,                 1.3673,             0.00087484,             0.00087484,             0.00087484
                     14,                0.72814,                0.99869,                 1.0149,                0.83944,                0.73152,                0.84909,                0.56015,                 1.3923,                 1.5345,                  1.334,             0.00080883,             0.00080883,             0.00080883
                     15,                0.65409,                0.93977,                0.97398,                0.86135,                0.83182,                0.88412,                 0.6073,                 1.3458,                 1.4712,                 1.3444,             0.00074282,             0.00074282,             0.00074282
                     16,                0.61487,                0.88467,                 0.9573,                0.90616,                0.83182,                0.92316,                0.63033,                 1.4527,                 1.3008,                 1.4603,              0.0006768,              0.0006768,              0.0006768
                     17,                0.59844,                0.86688,                0.95182,                0.83673,                0.72929,                0.86923,                0.58191,                 1.5342,                 1.6606,                 1.3991,             0.00061079,             0.00061079,             0.00061079
                     18,                0.59939,                0.81258,                0.93967,                 0.8606,                0.81805,                0.88343,                0.59315,                  1.484,                 1.4324,                 1.3425,             0.00054478,             0.00054478,             0.00054478
                     19,                0.58458,                0.73757,                0.92895,                  0.923,                0.87727,                0.89784,                0.61103,                 1.4289,                 1.1587,                 1.3749,             0.00047876,             0.00047876,             0.00047876
                     20,                 0.5643,                0.72043,                0.92165,                0.97588,                0.84221,                0.90814,                0.60585,                 1.3538,                 1.1064,                 1.3113,             0.00041275,             0.00041275,             0.00041275
                     21,                0.53486,                0.66588,                0.90097,                0.88605,                0.89201,                0.91549,                0.65614,                 1.3975,                 1.1388,                 1.4011,             0.00034674,             0.00034674,             0.00034674
                     22,                0.52636,                 0.6702,                0.92394,                0.93443,                0.85098,                0.95876,                0.65445,                 1.3847,                  1.048,                 1.3216,             0.00028072,             0.00028072,             0.00028072
                     23,                0.51876,                0.62749,                0.91771,                 0.9567,                0.82667,                 0.9433,                0.64566,                 1.3379,                 1.0011,                 1.3368,             0.00021471,             0.00021471,             0.00021471
                     24,                0.49058,                0.61806,                0.90623,                0.90075,                0.83182,                0.92436,                0.63109,                 1.3553,                 1.0256,                 1.3361,              0.0001487,              0.0001487,              0.0001487
